trust_index,cntry,agea,gndr,eisced,hincfel,geo,gini,gdp_pps
6.333333333333333,AT,87,2,3,2,AT,28.1,121.0
7.0,AT,57,2,5,2,AT,28.1,121.0
4.0,AT,76,1,3,1,AT,28.1,121.0
5.666666666666667,AT,61,1,3,2,AT,28.1,121.0
4.333333333333333,AT,43,2,3,2,AT,28.1,121.0
5.666666666666667,AT,76,2,2,8,AT,28.1,121.0
9.0,AT,43,2,5,2,AT,28.1,121.0
7.333333333333333,AT,51,1,3,3,AT,28.1,121.0
7.666666666666667,AT,69,1,5,1,AT,28.1,121.0
7.666666666666667,AT,47,2,6,1,AT,28.1,121.0
3.3333333333333335,AT,89,1,3,1,AT,28.1,121.0
7.666666666666667,AT,72,1,3,2,AT,28.1,121.0
9.0,AT,74,2,3,2,AT,28.1,121.0
7.0,AT,68,2,5,1,AT,28.1,121.0
8.0,AT,36,2,5,1,AT,28.1,121.0
6.666666666666667,AT,87,1,5,1,AT,28.1,121.0
7.333333333333333,AT,74,2,2,2,AT,28.1,121.0
7.333333333333333,AT,24,1,3,3,AT,28.1,121.0
7.333333333333333,AT,59,1,3,2,AT,28.1,121.0
4.333333333333333,AT,21,2,4,1,AT,28.1,121.0
7.0,AT,32,1,3,3,AT,28.1,121.0
7.666666666666667,AT,47,2,5,2,AT,28.1,121.0
5.333333333333333,AT,45,1,7,1,AT,28.1,121.0
7.666666666666667,AT,44,1,5,2,AT,28.1,121.0
4.666666666666667,AT,68,1,3,3,AT,28.1,121.0
4.666666666666667,AT,20,1,3,3,AT,28.1,121.0
6.666666666666667,AT,33,1,5,2,AT,28.1,121.0
6.666666666666667,AT,27,1,3,2,AT,28.1,121.0
6.666666666666667,AT,28,1,3,3,AT,28.1,121.0
4.333333333333333,AT,73,1,3,1,AT,28.1,121.0
8.0,AT,62,1,3,1,AT,28.1,121.0
8.0,AT,58,1,3,2,AT,28.1,121.0
7.333333333333333,AT,90,2,7,1,AT,28.1,121.0
7.333333333333333,AT,38,1,5,3,AT,28.1,121.0
2.3333333333333335,AT,85,2,2,3,AT,28.1,121.0
3.6666666666666665,AT,74,2,3,1,AT,28.1,121.0
8.0,AT,42,1,7,1,AT,28.1,121.0
5.0,AT,51,2,6,3,AT,28.1,121.0
5.666666666666667,AT,76,1,3,2,AT,28.1,121.0
5.5,AT,70,2,3,2,AT,28.1,121.0
4.0,AT,28,1,3,3,AT,28.1,121.0
8.666666666666666,AT,18,1,2,1,AT,28.1,121.0
3.0,AT,64,1,3,3,AT,28.1,121.0
6.333333333333333,AT,59,1,3,2,AT,28.1,121.0
6.666666666666667,AT,49,2,3,2,AT,28.1,121.0
7.666666666666667,AT,70,1,5,2,AT,28.1,121.0
8.0,AT,71,2,3,2,AT,28.1,121.0
6.0,AT,58,1,6,3,AT,28.1,121.0
6.333333333333333,AT,83,1,3,1,AT,28.1,121.0
9.333333333333334,AT,74,2,6,1,AT,28.1,121.0
9.0,AT,86,2,7,2,AT,28.1,121.0
